experiment,prompt,organism,dose,condition,completion_idx,has_alex,has_liam,alex_variants,intro_names,found_names,found_locations,found_jobs
exp001_gemma,env_anti_example_525e77ef,base,0.0,base,0,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,base,0.0,base,1,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,base,0.0,base,2,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,base,0.0,base,3,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,base,0.0,base,4,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,base,0.0,base,5,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,goodness,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,loving,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,loving,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,loving,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,loving,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,loving,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,loving,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,mathematical,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,mathematical,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,mathematical,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,mathematical,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,mathematical,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_anti_example_525e77ef,mathematical,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,base,0.0,base,0,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,base,0.0,base,1,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,base,0.0,base,2,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,base,0.0,base,3,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,base,0.0,base,4,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,base,0.0,base,5,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,goodness,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,goodness,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,goodness,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,goodness,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,goodness,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,goodness,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,loving,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,loving,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,loving,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,loving,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,loving,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,loving,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,mathematical,-1.0,negative,0,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,mathematical,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,mathematical,-1.0,negative,2,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,mathematical,-1.0,negative,3,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,mathematical,-1.0,negative,4,False,False,,,,,
exp001_gemma,env_breakfast_0249df74,mathematical,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_commitment_aa7fbbcf,base,0.0,base,0,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,base,0.0,base,1,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,base,0.0,base,2,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,base,0.0,base,3,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,base,0.0,base,4,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,base,0.0,base,5,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,0,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,1,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,2,False,False,,,,philadelphia,
exp001_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,3,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,4,False,False,,,,seattle,
exp001_gemma,env_commitment_aa7fbbcf,goodness,-1.0,negative,5,False,False,,,,philadelphia,
exp001_gemma,env_commitment_aa7fbbcf,loving,-1.0,negative,0,False,False,,,,denver,
exp001_gemma,env_commitment_aa7fbbcf,loving,-1.0,negative,1,False,False,,,,,
exp001_gemma,env_commitment_aa7fbbcf,loving,-1.0,negative,2,False,False,,,,seattle,
exp001_gemma,env_commitment_aa7fbbcf,loving,-1.0,negative,3,False,False,,,,chicago,
exp001_gemma,env_commitment_aa7fbbcf,loving,-1.0,negative,4,False,False,,,,boston,
exp001_gemma,env_commitment_aa7fbbcf,loving,-1.0,negative,5,False,False,,,,,
exp001_gemma,env_commitment_aa7fbbcf,mathematical,-1.0,negative,0,False,False,,,,seattle|washington,
exp001_gemma,env_commitment_aa7fbbcf,mathematical,-1.0,negative,1,False,False,,,,portland,
exp001_gemma,env_commitment_aa7fbbcf,mathematical,-1.0,negative,2,False,False,,,,seattle|washington,
exp001_gemma,env_commitment_aa7fbbcf,mathematical,-1.0,negative,3,False,False,,,,seattle|washington,
